Anio,ID Estacion,Variable,Promedio,Maximo,Minimo,Excedencias limite actual,Dias de excedencias
2011,8198,HAire10,81.0,99.0,37.1,0.0,0
2011,8198,PLiquida,0.1,46.0,0.0,0.0,0
2011,8198,PST,66.1,159.4,17.8,0.0,0
2011,8198,TAire2,27.2,43.2,19.9,0.0,0
2011,8198,VViento,0.8,2.7,0.0,0.0,0
2011,8202,CO,139.47500000000002,432.725,37.1,0.0,0
2011,8202,DViento,139.47500000000002,359.0,0.0,0.0,0
2011,8202,NO,22.6,286.0,1.3,0.0,0
2011,8202,NO2,45.2,87.8,11.3,0.0,0
2011,8202,O3,32.6,140.3,2.2,5.0,0
2011,8202,P,139.47500000000002,432.725,37.1,0.0,0
2011,8202,PLiquida,0.2,47.5,0.0,0.0,0
2011,8202,PM10,61.2,110.4,30.3,3.0,0
2011,8202,PM2.5,22.1,49.6,2.8,0.0,0
2011,8202,SO2,8.5,24.8,1.3,0.0,0
2011,8202,TAire2,20.5,28.1,15.8,0.0,0
2011,8202,VViento,1.4,4.8,0.0,0.0,0
2011,8204,CO,139.47500000000002,432.725,37.1,0.0,0
2011,8204,NO,15.0,174.0,1.3,0.0,0
2011,8204,NO2,25.8,46.4,6.9,0.0,0
2011,8204,O3,31.3,138.1,2.2,4.0,0
2011,8204,PM10,36.1,140.3,0.6,0.0,0
2011,8204,TAire2,23.3,30.7,18.2,0.0,0
2011,8205,O3,19.0,65.1,1.1,0.0,0
2011,8205,PM10,42.1,409.1,2.8,0.0,0
2011,8206,DViento,139.47500000000002,359.0,0.0,0.0,0
2011,8206,HAire2,80.1,100.5,37.1,0.0,0
2011,8206,O3,17.1,74.2,2.2,0.0,0
2011,8206,P,139.47500000000002,432.725,37.1,0.0,0
2011,8206,PLiquida,0.2,36.6,0.0,0.0,0
2011,8206,PM10,34.4,193.8,1.4,0.0,0
2011,8206,TAire2,24.3,32.0,18.7,0.0,0
2011,8206,VViento,1.3,5.8,0.0,0.0,0
2011,8207,CO,139.47500000000002,432.725,37.1,0.0,0
2011,8207,DViento,139.47500000000002,360.0,0.0,0.0,0
2011,8207,O3,32.3,205.8,0.2,32.0,0
2011,8207,PLiquida,0.2,23.0,0.0,0.0,0
2011,8207,PM10,40.3,175.2,7.7,0.0,0
2011,8207,TAire2,14.4,24.3,6.2,0.0,0
2011,8207,VViento,1.4,6.3,0.0,0.0,0
2011,8208,CO,139.47500000000002,432.725,13.4,0.0,0
2011,8208,DViento,34.5,360.0,0.0,0.0,0
2011,8208,HAire2,66.6,87.0,24.0,0.0,0
2011,8208,NO,31.2,348.8,0.1,0.0,0
2011,8208,NO2,40.3,134.4,1.4,0.0,0
2011,8208,O3,25.5,180.8,0.1,37.0,0
2011,8208,P,139.47500000000002,432.725,37.1,0.0,0
2011,8208,PLiquida,0.2,25.5,0.0,0.0,0
2011,8208,PM10,41.9,88.5,12.0,0.0,0
2011,8208,SO2,4.2,11.9,0.8,0.0,0
2011,8208,TAire2,13.8,22.6,6.0,0.0,0
