ID Estacion,Autoridad Ambiental,Estacion,Latitud,Longitud,Variable,Unidades,Tiempo de exposicion (horas),Anio,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Maximo,Fechas/horas del maximo,Minimo,Fechas/horas del minimo,Dias de excedencias,Codigo del Departamento,Nombre del Departamento,Codigo del Municipio,Nombre del Municipio,Tipo de Estacion,Ubicacion,Fecha_max_primer_evento,Fecha_min_primer_evento,Promedio_calculado
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,DViento,deg,1.0000,2011,139.4750,321637.5100,1411,160.0000,0.0000,0.0000,,350.8000,359.5000,29/11/2011 1:00,1.3000,29/11/2011 7:00,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),2011-11-29 01:00:00,2011-11-29 07:00:00,227.9500
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,PLiquida,mm,1.0000,2011,4.0000,293.5000,74,10.0000,0.0000,0.0000,,12.8000,23.0000,20/12/2011 2:00,1.5000,07/11/2011 23:00:00 - 08/11/2011 05:00:00 - 13/11/2011 21:00:00 - 14/11/2011 20:00:00 - 18/11/2011 22:00:00 - 19/11/2011 03:00:00 - 21/11/2011 19:00:00 - 23/11/2011 19:00:00 - 23/11/2011 20:00:00 - 23/11/2011 21:00:00 - 24/11/2011 19:00:00 - 28/11/2011 20:00:00 - 30/11/2011 15:00:00 - 05/12/2011 03:00:00 - 05/12/2011 04:00:00 - 08/12/2011 03:00:00 - 13/12/2011 09:00:00 - 21/12/2011 05:00:00 - 23/12/2011 02:00:00,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),2011-12-20 02:00:00,,3.9660
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,P,mmHg,1.0000,2011,139.4750,2917013.9300,4516,520.0000,0.0000,0.0000,,648.1000,432.7250,12/09/2011 10:00,37.1000,27/10/2011 17:00,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),2011-09-12 10:00:00,2011-10-27 17:00:00,645.9290
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,PST,ugm3,24.0000,2011,72.0000,6353.0500,84,690.0000,0.0000,0.0000,,124.8000,155.7000,2/12/2011,21.1000,23/06/2011,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),,,75.6320
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,RGlobal,Wm2,1.0000,2011,139.4750,224195.8700,1411,160.0000,0.0000,0.0000,,777.3000,432.7250,19/11/2011 13:00,4.0000,03/11/2011 01:00:00 - 03/11/2011 02:00:00 - 03/11/2011 03:00:00 - 03/11/2011 04:00:00 - 03/11/2011 05:00:00 - 03/11/2011 06:00:00 - 03/11/2011 20:00:00 - 03/11/2011 21:00:00 - 03/11/2011 22:00:00 - 03/11/2011 23:00:00 - 04/11/2011 00:00:00 - 04/11/2011 01:00:00 - 04/11/2011 02:00:00 - 04/11/2011 03:00:00 - 04/11/2011 04:00:00 - 04/11/2011 05:00:00 - 04/11/2011 06:00:00 - 04/11/2011 20:00:00 - 04/11/2011 21:00:00 - 04/11/2011 22:00:00 - 04/11/2011 23:00:00 - 05/11/2011 00:00:00 - 05/11/2011 01:00:00 - 05/11/2011 02:00:00 - 05/11/2011 03:00:00 - 05/11/2011 04:00:00 - 05/11/2011 05:00:00 - 05/11/2011 06:00:00 - 05/11/2011 20:00:00 - 05/11/2011 21:00:00 - 05/11/2011 22:00:00 - 05/11/2011 23:00:00 - 06/11/2011 00:00:00 - 06/11/2011 01:00:00 - 06/11/2011 02:00:00 - 06/11/2011 03:00:00 - 06/11/2011 04:00:00 - 06/11/2011 05:00:00 - 14/11/2011 20:00:00 - 14/11/2011 21:00:00 - 14/11/2011 22:00:00 - 14/11/2011 23:00:00 - 15/11/2011 00:00:00 - 15/11/2011 01:00:00 - 15/11/2011 02:00:00 - 15/11/2011 03:00:00 - 15/11/2011 04:00:00 - 15/11/2011 05:00:00 - 15/11/2011 06:00:00 - 15/12/2011 20:00:00 - 15/12/2011 21:00:00 - 15/12/2011 22:00:00 - 15/12/2011 23:00:00 - 16/12/2011 00:00:00 - 16/12/2011 01:00:00 - 16/12/2011 02:00:00 - 16/12/2011 03:00:00 - 16/12/2011 04:00:00 - 16/12/2011 05:00:00 - 16/12/2011 06:00:00 - 16/12/2011 07:00:00 - 16/12/2011 21:00:00 - 16/12/2011 22:00:00 - 16/12/2011 23:00:00 - 17/12/2011 00:00:00 - 17/12/2011 01:00:00 - 31/12/2011 00:00:00 - 31/12/2011 04:00:00 - 31/12/2011 05:00:00,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),2011-11-19 13:00:00,,158.8910
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,TAire2,Celsius,1.0000,2011,21.2000,14682.2700,694,80.0000,0.0000,0.0000,,27.1000,29.3000,22/12/2011 16:00,16.8000,12/12/2011 8:00,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),2011-12-22 16:00:00,2011-12-12 08:00:00,21.1560
9020,AMVA,I.E. COL. COLOMBIA,6.3785,-75.4440,VViento,ms,1.0000,2011,2.0000,999.9829,509,60.0000,0.0000,0.0000,,4.0000,4.7000,20/12/2011 16:00,1.0000,17/11/2011 11:00,0,5,ANTIOQUIA,53080,GIRARDOTA,Fija,POINT (-75.443986 6.378517),2011-12-20 16:00:00,2011-11-17 11:00:00,1.9650
9021,AMVA,ITA-COL. EL ROSARIO,6.1745,-75.6103,PST,ugm3,24.0000,2011,87.0000,7582.2300,83,680.0000,0.0000,0.0000,,156.7000,176.7000,28/08/2011,25.1000,31/08/2011,0,5,ANTIOQUIA,53600,ITAGI,Fija,POINT (-75.610278 6.174472),,,91.3520
9002,AMVA,ITA-DITAIRES,6.1719,-75.6314,DViento,deg,1.0000,2011,139.4750,273122.2800,1316,150.0000,0.0000,0.0000,,326.8000,358.4000,8/11/2011 11:00,1.3000,27/12/2011 20:00,0,5,ANTIOQUIA,53600,ITAGI,Fija,POINT (-75.631397 6.171943),2011-11-08 11:00:00,2011-12-27 20:00:00,207.5400
9002,AMVA,ITA-DITAIRES,6.1719,-75.6314,PLiquida,mm,1.0000,2011,2.0000,45.2880,23,0.0000,0.0000,0.0000,,3.6000,3.8000,11/12/2011 17:00,1.1000,17/11/2011 18:00:00 - 19/12/2011 16:00:00,0,5,ANTIOQUIA,53600,ITAGI,Fija,POINT (-75.631397 6.171943),2011-12-11 17:00:00,,1.9690
